"victim","sq","victim_age","victim_race","victim_gender","URL.of.image.of.victim","doi.x","Agency.responsible.for.death","Cause.of.death","A.brief.description.of.the.circumstances.surrounding.the.death","Official.disposition.of.death..justified.or.other.","Criminal.Charges.","Symptoms.of.mental.illness.","Armed.Unarmed.Status","Alleged.Weapon..Source..WaPo.and.Review.of.Cases.Not.Included.in.WaPo.Database.","Alleged.Threat.Level..Source..WaPo.","Fleeing..Source..WaPo.","Body.Camera..Source..WaPo.","Zip","City_y","State_y","Latitude","Longitude","Link.to.news.article.or.photo.of.official.document"
"Alex Johnson",37.9106968940494,"58","Black","Male","","2019-02-12","Defiance Police Department","Gunshot","Police responded at 7:45 a.m. to a 911 call at a residence, where they confronted Alex Johnson, who allegedly had a knife, and shot and killed him.","Pending investigation/No Known Charges","No known charges","No","Allegedly Armed","knife","other","Not fleeing","No",43512,"Defiance","OH",41.29037,-84.36539,"https://www.toledoblade.com/local/police-fire/2019/02/12/person-killed-in-defiance-officer-involved-shooting/stories/20190212101"
"Alex Nguyen",7.96762673933382,"31","Asian","Male","","2013-07-04","Arlington Police Department","Gunshot","An officer on routine patrol drove into a large shopping center parking lot a was flagged down by a security guard asking for help with a disturbance outside Star Saigon Bar and Grill. When the officer got out of his patrol car he saw a man firing into a group of people in the parking lot and that's when the officer shot the man, killing him, according to police.","Justified","No known charges","No","Allegedly Armed","gun","","","",76014,"Arlington","TX",32.694666,-97.08748,"http://crimeblog.dallasnews.com/2013/07/arlington-police-officer-shot-and-killed-an-armed-man-firing-into-crowd-outside-nightclub-thursday-morning.html/"
"Alex Thompson",15.1018326385572,"37","White","Male","","2016-03-03","Kenly Police Department","Taser","Thompson led police on a car chase after he ignored a deputy's commands to pull over for speeding, according to authorities. Police said an officer shocked Thompson when he ran toward the officer and ignored commands. Thompson died several days later","Charged with involuntary manslaughter, plead guilty to assault","Charged, Convicted of assault","Unknown","Unarmed/Did Not Have Actual Weapon","no object","other","Not fleeing","",27576,"Selma","NC",35.557966,-78.26479,"http://www.wral.com/driver-stunned-by-police-after-two-county-chase-dies/15499072/"
"Alexander Bonds",355.049317277535,"34","Black","Male","http://www.fatalencounters.org/wp-content/uploads/2013/10/AlexanderBonds.jpg","2017-07-05","New York Police Department","Gunshot","Alexander Bonds shot and killed NYPD Officer Miosotis Familia, 48, and was then shot to death in a gunfight with two officers who responded to the call for help from Familia's partner.","Pending investigation/No Known Charges","No known charges","No","Allegedly Armed","gun","attack","Foot","No",10453,"Bronx","NY",40.853017,-73.91214,"http://www.nydailynews.com/new-york/nyc-crime/police-officer-shot-bronx-suspect-custody-article-1.3301718"
"Alexander Carballido",1.38629436111989,"40","Hispanic","Male","https://www.fatalencounters.org/wp-content/uploads/2018/09/AlexanderCarballido.jpg","2018-09-20","Miami-Dade Police Department, Miami Police Department","Gunshot","Alexander Carballido was allegedly implicated in a hate-crime investigation when he shot at officers who shot and killed him.","Pending investigation/No Known Charges","No known charges","No","Allegedly Armed","gun","attack","Car","No",33126,"Miami","FL",25.777977,-80.29718,"https://www.local10.com/news/crime/gunman-wanted-in-hate-crime-killed-in-shootout-with-police"
"Alexander Gonzales",23.9912316731397,"27","Hispanic","Male","","2021-01-05","Austin Police Department","Gunshot","An off-duty officer was in a neighborhood around 12:30 a.m. in his personal vehicle, when a man cut him off. The off-duty officer said the man pointed a weapon, prompting the officer to shoot at the man. The officer called 911, and other officers responded. Both vehicles came to a stop, and the off-duty officer and the other officers gave commands to the man, in English and in Spanish, to get out of his vehicle, telling him to put his hands in the air and get away from the car. The man got out, walked around to the rear of the vehicle, and opened the rear passenger door, and one of the on-duty officers shot and killed the man. A woman in the car was also hit and transported to a nearby hospital in stable condition. An infant in the car was unharmed.","Pending investigation","No known charges","No","Allegedly Armed","unknown weapon","other","","",78741,"Austin","TX",30.231252,-97.716,"https://talk1370.radio.com/articles/one-dead-one-injured-in-officer-involved-shooting"
"Alexander Scott",29.2968295852912,"30","Unknown Race","Male","","2020-05-27","Wilburton Police Department","Gunshot","Officer Richard Johnston responded around 8:15 p.m. to a call about an intoxicated man walking along State Highway 2 near a convenience store. When Johnston arrived, Alexander Scott reportedly ""turned and threw a bottle at the patrol car"" before advancing toward Johnston's door. Johntson got out of the patrol car and was stabbed several times in the neck and shoulder by Scott. Johnston shot and killed Scott.","Pending investigation/No Known Charges","No known charges","Drug or alcohol use","Allegedly Armed","knife","attack","Not fleeing","No",74578,"Wilburton","OK",34.886021,-95.29859,"https://www.mcalesternews.com/news/update-osbi-confirms-officer-involved-shooting-in-wilburton/article_c61aa2b4-a090-11ea-8c8b-cbcd3305f578.html"
"Alexander Tuzinski",2.07944154167984,"30","Unknown Race","Male","","2021-05-01","Porter County Sheriff's Office","Gunshot","Officers responded to reports of a domestic disturbance. After many hours, officers attempted to make contact with a man inside the home. Officers eventually entered the home and found a man in a bedroom, allegedly armed with a handgun. Police shot the man, killing him. ","Pending investigation","No known charges","No","Allegedly Armed","gun","other","","no",46385,"Valparaiso","IN",41.484652,-87.11269,"https://www.nwitimes.com/news/local/crime-and-courts/1-officer-on-paid-leave-after-man-dies-in-police-involved-shooting-sheriffs-spokesman-says/article_0254e994-1548-55d8-b886-96a4010cb098.html"
"Alexander Wilson",7.98718474823347,"16","Black","Male","http://media.phoenixnewtimes.com/a-teen-s-shooting-death-was-avoidable-even-if-the-cops-call-it-justified.8730666.40.jpg","2013-04-07","Arizona Department of Public Safety","Gunshot","A DPS officer ran the license of a tan Chevrolet Tahoe and the plates came back stolen. The officer followed Wilson and his passenger. The officer tailed the car into a Chevron, parking about five feet behind the SUV. The officer claimed Alexander attempted to run him down, so he shot, killing him.","Justified","No known charges","No","Vehicle","vehicle ","","","",85017,"Phoenix","AZ",33.514092,-112.12285,"http://blogs.phoenixnewtimes.com/valleyfever/2013/05/report_finds_dps_shooting_of_a.php"
"Alexia Christian",13.1061079712736,"25","Black","Female","http://mugshots.com/search.html?q=alexia%20christian&c=119250","2015-04-29","Atlanta Police Department","Gunshot","Officers shot and killed a woman who allegedly fired shots from the back seat of a patrol car.","Pending investigation/No Known Charges","No known charges","Unknown","Allegedly Armed","gun","attack","Not fleeing","No",30303,"Atlanta","GA",33.752856,-84.39013,"http://www.ajc.com/news/news/shots-fired-in-downtown-atlanta/nk6jp/"
"Alexio Allen",13.2681039339353,"30","Black","Male","http://www.fatalencounters.org/wp-content/uploads/2013/10/Allen.jpg","2016-03-23","Memphis Police Department","Gunshot","Officers were called to the house by a woman who said Allen was having a mental episode that included hallucinations. Police said the officer shot and killed Allen as he struggled with a woman believed to be his girlfriend or fiancee over a rifle. His girlfriend insists Allen was not a threat, was instructing him to put down the rifle when he was shot.","Pending investigation/No Known Charges","No known charges","Yes","Allegedly Armed","gun","attack","Not fleeing","No",38128,"Memphis","TN",35.219882,-89.92588,"http://www.wmcactionnews5.com/story/31559847/the-latest-police-man-fatally-shot-by-memphis-officer"
"Alexis Diaz",23.9410972953337,"34","Hispanic","Male","","2013-04-29","Orange County Sheriff's Office","Gunshot","With a considerable small-time criminal record, Diaz was acting erratically and aggressively near a motel in the early evening. Responding county deputies shot him to death although Diaz was armed only with a pellet gun.","Unreported","No known charges","No","Unarmed/Did Not Have Actual Weapon","toy weapon","","","",32839,"Orlando","FL",28.489758,-81.40625,"http://articles.orlandosentinel.com/2013-05-01/news/os-alexis-diaz-shooting-killed-20130501_1_deputies-jane-watrel-brian-tracy"
"Alfonso Lopez",58.6942609991107,"41","Hispanic","Male","","2016-12-27","North Riverside Police Department","Gunshot","As officers closed in on the suspect, he grabbed an elderly man and held him at knifepoint in an attempt to use him as a human shield,” police said.","Pending investigation/No Known Charges","No known charges","Unknown","Allegedly Armed","knife","attack","Not fleeing","No",77584,"Pearland","TX",29.543654,-95.34036,"http://chicago.suntimes.com/news/police-involved-shooting-in-north-riverside-under-investigation/"
"Alfred Olango",65.3743189027281,"38","Black","Male","","2016-09-27","El Cajon Police Department","Gunshot","Police claim Alfred was walking in the road and, when engaged by police, he had his hands in his pockets. They shot him as he allegedly moved his hands ""rapidly"" out of his pockets. He was unarmed.","Justified by District Attorney","No known charges","Yes","Unarmed/Did Not Have Actual Weapon","no object","attack","Not fleeing","Yes",92021,"El Cajon","CA",32.8201,-116.91234,"http://www.nydailynews.com/news/crime/california-police-shoot-man-witnesses-unarmed-article-1.2809204"
"Alfred Toe",22.1606451771327,"34","Black","Male","http://www.fatalencounters.org/wp-content/uploads/2013/10/Alfred-Toe.jpg","2016-08-27","Trenton Police Department","Gunshot","Toe tried to wrestle a gun away from an off-duty Trenton police officer at a family gathering in the city was shot in the chest during the struggle and later died, police said.","Pending investigation/No Known Charges","No known charges","No","Unclear","undetermined","attack","Not fleeing","",8638,"Trenton","NJ",40.249908,-74.75953,"http://www.nj.com/mercer/index.ssf/2016/08/man_shot_while_struggling_with_trenton_officer_ove.html"
"Alice Brown",7.72223474470961,"24","White","Female","http://sfist.com/attachments/sfist_eve/alice_brown_collage.jpg","2015-03-17","San Francisco Police Department","Gunshot","Plainclothes officers reported that they suspected the car that Brown was in as being stolen, and when they showed her their badges, she fled hitting a gas station building, and other cars along the chase. Officers claimed that she drove the car at them before they shot her to death.","Unreported","No known charges","Yes","Vehicle","vehicle","other","Not fleeing","No",94109,"San Francisco","CA",37.792778,-122.42188,"http://www.nbcbayarea.com/news/local/San-Francisco-Police-Investigating-Officer-Involved-Shooting-on-Van-Ness-Avenue-296670781.html?_osource=outbrain_recirc=obinsite"
"Allan Feliz",6.38012253689976,"31","Black","Male","https://fatalencounters.org/wp-content/uploads/2019/10/Allan-Feliz.jpg","2019-10-17","New York Police Department","Gunshot","Police spotted Allan Feliz, initially identified by police as Samy Feliz, 29, driving without a seat belt at about 3 p.m. and pulled him over. Feliz allegedly tried to leave, fought with the officer, and was tasered and then shot and killed.","Pending investigation/No Known Charges","No known charges","No","Vehicle","vehicle","attack","Not fleeing","No",10467,"Bronx","NY",40.872265,-73.86937,"https://nypost.com/2019/10/17/nypd-sergeant-fatally-shoots-man-in-the-bronx-cops/?utm_source=maropost&utm_medium=email&utm_campaign=nypevening&utm_content=20191017&tpcc=evening_update&mpweb=755-8332139-720226743"
"Allan George",13.4686161992139,"57","White","Male","","2019-08-05","Rifle Police Department","Gunshot","Police made a vehicle stop on the Colorado River bridge between the I-70 exit and Whiteriver Avenue. Two officers made contact with the driver and shot and killed him. Allan George reportedly pointed a gun at police and was being sought on an unspecified warrant.","Pending investigation/No Known Charges","No known charges","Yes","Allegedly Armed","gun","other","Foot","No",81650,"Rifle","CO",39.603225,-107.89755,"https://www.rifleco.org/CivicAlerts.aspx?aid=291&utm_source=dlvr.it&utm_medium=twitter"
"Allan White",7.41818082272679,"23","White","Male","","2015-07-28","Bradley County Sheriff's Department","Gunshot","White was allegedly hiding behind a vehicle when deputy Tiffany Oakley returned to her home on her night shift lunch break, and ran out towards her and attacked. The sheriff said Oakley attempted to subdue White with a Taser before shooting him.","Unreported","No known charges","No","Unarmed/Did Not Have Actual Weapon","no object","","","",37311,"Cleveland","TN",35.146362,-84.88723,"http://www.wrcbtv.com/story/29646814/deputy-involved-shooting-in-bradley-county"
